Gene,Protein,Description,p_Value,Log2FC
Pde1a,PDE1A_MOUSE|Q61481,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",4.61E-03,6.21E-01
Pde1b,PDE1B_MOUSE|Q01065,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",6.84E-03,5.66E-01
Pde1c,PDE1C_MOUSE|Q64338,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",1.21E-02,5.83E-01
Pde2a,PDE2A_MOUSE|Q922S4,"cGMP-dependent 3',5'-cyclic phosphodiesterase",1.85E-02,4.26E-01
Pde4a,PDE4A_MOUSE|O89084,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",2.84E-03,8.30E-01
Pde4d,PDE4D_MOUSE|Q01063,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",1.70E-03,9.00E-01
Pde6d,PDE6D_MOUSE|O55057,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",4.04E-01,1.04E-01
Pde8b,PDE8B_MOUSE|E9Q4S1,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",1.45E-03,6.26E-01
P4hb,PDIA1_MOUSE|P09103,Protein disulfide-isomerase,4.18E-01,5.96E-02
Pdia3,PDIA3_MOUSE|P27773,Protein disulfide-isomerase A3,2.18E-01,3.10E-01
Pdia4,PDIA4_MOUSE|P08003,Protein disulfide-isomerase A4,1.55E-01,1.63E-01
Pdia6,PDIA6_MOUSE|Q922R8,Protein disulfide-isomerase A6,3.73E-01,1.62E-01
Poldip2,PDIP2_MOUSE|Q91VA6,Polymerase delta-interacting protein 2,1.74E-02,3.96E-01
Pdk1,PDK1_MOUSE|Q8BFP9,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",3.89E-02,6.32E-01
Pdk2,PDK2_MOUSE|Q9JK42,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",4.38E-02,6.17E-01
Pdk3,PDK3_MOUSE|Q922H2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",7.23E-02,4.15E-01
Pdlim1,PDLI1_MOUSE|O70400,PDZ and LIM domain protein 1,1.69E-02,3.66E-01
Pdlim3,PDLI3_MOUSE|O70209,PDZ and LIM domain protein 3,5.44E-04,1.44E+00
Pdlim5,PDLI5_MOUSE|Q8CI51,PDZ and LIM domain protein 5,7.53E-03,2.58E-01
Pdp1,PDP1_MOUSE|Q3UV70,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",8.68E-02,3.71E-01
Pdpk1,PDPK1_MOUSE|Q9Z2A0,3-phosphoinositide-dependent protein kinase 1,1.20E-02,5.42E-01
Pdpr,PDPR_MOUSE|Q7TSQ8,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",6.20E-04,6.21E-01
Pds5a,PDS5A_MOUSE|Q6A026,Sister chromatid cohesion protein PDS5 homolog A,1.33E-02,3.53E-01
Pds5b,PDS5B_MOUSE|Q4VA53,Sister chromatid cohesion protein PDS5 homolog B,9.45E-02,2.96E-01
Pdxdc1,PDXD1_MOUSE|Q99K01,Pyridoxal-dependent decarboxylase domain-containing protein 1,1.09E-03,8.45E-01
Pdxk,PDXK_MOUSE|Q8K183,Pyridoxal kinase,2.61E-01,2.87E-01
Pdzd4,PDZD4_MOUSE|Q9QY39,PDZ domain-containing protein 4,1.95E-03,1.12E+00
Pea15,PEA15_MOUSE|Q62048,Astrocytic phosphoprotein PEA-15,7.63E-04,1.07E+00
Peak1,PEAK1_MOUSE|Q69Z38,Pseudopodium-enriched atypical kinase 1,1.00E-03,1.49E+00
Cbfb,PEBB_MOUSE|Q08024,Core-binding factor subunit beta,7.79E-01,3.80E-02
Pebp1,PEBP1_MOUSE|P70296,Phosphatidylethanolamine-binding protein 1,1.36E-04,1.20E+00
Serpinf1,PEDF_MOUSE|P97298,Pigment epithelium-derived factor,8.37E-01,-4.76E-02
Pef1,PEF1_MOUSE|Q8BFY6,Peflin,7.91E-02,3.73E-01
Peli1,PELI1_MOUSE|Q8C669,E3 ubiquitin-protein ligase pellino homolog 1,1.94E-03,8.42E-01
Pelo,PELO_MOUSE|Q80X73,Protein pelota homolog,1.08E-01,2.77E-01
Penk,PENK_MOUSE|P22005,Proenkephalin-A,9.37E-01,-6.31E-02
Pepd,PEPD_MOUSE|Q11136,Xaa-Pro dipeptidase,2.17E-01,4.50E-01
Npepl1,PEPL1_MOUSE|Q6NSR8,Probable aminopeptidase NPEPL1,4.42E-02,3.60E-01
Per1,PER1_MOUSE|O35973,Period circadian protein homolog 1,2.15E-02,1.34E+00
Prph,PERI_MOUSE|P15331,Peripherin,1.54E-01,-7.97E-02
Pex1,PEX1_MOUSE|Q5BL07,Peroxisome biogenesis factor 1,4.72E-04,1.12E+00
Pex19,PEX19_MOUSE|Q8VCI5,Peroxisomal biogenesis factor 19,5.89E-04,1.41E+00
Pex5,PEX5_MOUSE|O09012,Peroxisomal targeting signal 1 receptor,6.66E-04,1.42E+00
Pex5l,PEX5R_MOUSE|Q8C437,PEX5-related protein,4.45E-04,1.59E+00
Pex5l,PEX5R_MOUSE|Q8C437-3,PEX5-related protein (isoform 3),3.01E-03,6.67E-01
Pfdn1,PFD1_MOUSE|Q9CWM4,Prefoldin subunit 1,9.55E-05,5.40E-01
Pfdn2,PFD2_MOUSE|O70591,Prefoldin subunit 2,2.23E-04,1.50E+00
Vbp1,PFD3_MOUSE|P61759,Prefoldin subunit 3,8.64E-05,7.54E-01
Pfdn5,PFD5_MOUSE|Q9WU28,Prefoldin subunit 5,2.18E-03,3.17E-01
Pfdn6,PFD6_MOUSE|Q03958,Prefoldin subunit 6,3.73E-04,1.05E+00
Pfkl,PFKAL_MOUSE|P12382,"ATP-dependent 6-phosphofructokinase, liver type",7.11E-03,5.00E-01
Pfkm,PFKAM_MOUSE|P47857,"ATP-dependent 6-phosphofructokinase, muscle type",7.28E-03,5.67E-01
Pfkp,PFKAP_MOUSE|Q9WUA3,"ATP-dependent 6-phosphofructokinase, platelet type",1.19E-02,5.91E-01
Pgam1,PGAM1_MOUSE|Q9DBJ1,Phosphoglycerate mutase 1,6.24E-02,3.76E-01
Pgam2,PGAM2_MOUSE|O70250,Phosphoglycerate mutase 2,1.19E-01,1.88E-01
Pgam5,PGAM5_MOUSE|Q8BX10,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",5.61E-02,4.42E-01
Pgap1,PGAP1_MOUSE|Q3UUQ7,GPI inositol-deacylase,9.51E-03,6.77E-01
Hspg2,PGBM_MOUSE|Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein,9.39E-01,8.10E-03
Acan,PGCA_MOUSE|Q61282,Aggrecan core protein,6.58E-01,6.83E-02
Bcan,PGCB_MOUSE|Q61361,Brevican core protein,1.71E-01,3.13E-01
Ptges2,PGES2_MOUSE|Q8BWM0,Prostaglandin E synthase 2,1.07E-01,5.43E-01
Fam213b,PGFS_MOUSE|Q9DB60,Prostamide/prostaglandin F synthase,1.18E-02,6.33E-01
Pgk1,PGK1_MOUSE|P09411,Phosphoglycerate kinase 1,1.95E-01,3.45E-01
Pgk2,PGK2_MOUSE|P09041,Phosphoglycerate kinase 2,2.20E-02,-1.17E-01
Poglut1,PGLT1_MOUSE|Q8BYB9,Protein O-glucosyltransferase 1,3.74E-01,1.13E-01
Pgm1,PGM1_MOUSE|Q9D0F9,Phosphoglucomutase-1,2.79E-02,4.72E-01
Pgm2,PGM2_MOUSE|Q7TSV4,Phosphoglucomutase-2,2.99E-02,3.96E-01
Pgm2l1,PGM2L_MOUSE|Q8CAA7,"Glucose 1,6-bisphosphate synthase",3.68E-03,7.34E-01
Pgp,PGP_MOUSE|Q8CHP8,Phosphoglycolate phosphatase,1.09E-02,5.50E-01
Pgs1,PGPS1_MOUSE|Q8BHF7,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",2.69E-02,5.63E-01
Pgrmc1,PGRC1_MOUSE|O55022,Membrane-associated progesterone receptor component 1,1.35E-01,4.19E-01
Rabggta,PGTA_MOUSE|Q9JHK4,Geranylgeranyl transferase type-2 subunit alpha,1.59E-02,5.35E-01
Rabggtb,PGTB2_MOUSE|P53612,Geranylgeranyl transferase type-2 subunit beta,1.50E-01,4.89E-01
Phactr1,PHAR1_MOUSE|Q2M3X8,Phosphatase and actin regulator 1,2.55E-03,1.10E+00
Phactr3,PHAR3_MOUSE|Q8BYK5,Phosphatase and actin regulator 3,1.28E-03,1.16E+00
Phactr4,PHAR4_MOUSE|Q501J7,Phosphatase and actin regulator 4,7.23E-04,1.24E+00
Phb,PHB_MOUSE|P67778,Prohibitin,3.22E-01,3.18E-01
Phb2,PHB2_MOUSE|O35129,Prohibitin-2,1.78E-01,3.86E-01
Phf14,PHF14_MOUSE|Q9D4H9,PHD finger protein 14,5.32E-04,1.35E+00
Phf2,PHF2_MOUSE|Q9WTU0,Lysine-specific demethylase PHF2,1.67E-01,3.07E-01
NA,PHF24_MOUSE|Q80TL4,NA,2.72E-02,4.95E-01
NA,PHF24_MOUSE|Q80TL4-2,NA,6.30E-03,5.16E-01
Phf5a,PHF5A_MOUSE|P83870,PHD finger-like domain-containing protein 5A,3.68E-02,4.35E-01
Phip,PHIP_MOUSE|Q8VDD9,PH-interacting protein,1.27E-01,2.49E-01
Phyhipl,PHIPL_MOUSE|Q8BGT8,Phytanoyl-CoA hydroxylase-interacting protein-like,6.71E-03,5.72E-01
Phldb1,PHLB1_MOUSE|Q6PDH0,Pleckstrin homology-like domain family B member 1,8.46E-04,1.07E+00
Pdcl,PHLP_MOUSE|Q9DBX2,Phosducin-like protein,7.26E-04,1.35E+00
Phlpp1,PHLP1_MOUSE|Q8CHE4,PH domain leucine-rich repeat-containing protein phosphatase 1,1.16E-02,5.18E-01
Phpt1,PHP14_MOUSE|Q9DAK9,14 kDa phosphohistidine phosphatase,4.93E-01,7.99E-02
Phyhip,PHYIP_MOUSE|Q8K0S0,Phytanoyl-CoA hydroxylase-interacting protein,4.90E-03,6.42E-01
Pik3r4,PI3R4_MOUSE|Q8VD65,Phosphoinositide 3-kinase regulatory subunit 4,1.80E-03,7.61E-01
Pip4k2a,PI42A_MOUSE|O70172,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,5.47E-02,4.29E-01
Pip4k2b,PI42B_MOUSE|Q80XI4,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,8.20E-03,5.95E-01
Pip4k2c,PI42C_MOUSE|Q91XU3,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,1.01E-02,6.19E-01
NA,PI4KA_MOUSE|E9Q3L2,NA,1.60E-03,5.94E-01
Pi4kb,PI4KB_MOUSE|Q8BKC8,Phosphatidylinositol 4-kinase beta,9.98E-04,1.03E+00
Pip5k1a,PI51A_MOUSE|P70182,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,6.35E-04,8.61E-01
Pip5k1b,PI51B_MOUSE|P70181,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta,1.06E-03,1.11E+00
Pip5k1c,PI51C_MOUSE|O70161,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,2.35E-03,7.59E-01
Inpp5j,PI5PA_MOUSE|P59644,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",9.33E-04,1.25E+00
Picalm,PICAL_MOUSE|Q7M6Y3,Phosphatidylinositol-binding clathrin assembly protein,4.44E-04,1.28E+00
Pick1,PICK1_MOUSE|Q62083,PRKCA-binding protein,9.28E-04,8.06E-01
Pigt,PIGT_MOUSE|Q8BXQ2,GPI transamidase component PIG-T,2.76E-02,5.60E-01
Pcmt1,PIMT_MOUSE|P23506,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,3.03E-04,1.40E+00
Pin1,PIN1_MOUSE|Q9QUR7,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,1.22E-04,1.19E+00
Pnn,PININ_MOUSE|O35691,Pinin,5.42E-04,1.20E+00
Pitpna,PIPNA_MOUSE|P53810,Phosphatidylinositol transfer protein alpha isoform,6.90E-02,5.46E-01
Pitpnb,PIPNB_MOUSE|P53811,Phosphatidylinositol transfer protein beta isoform,5.36E-02,3.94E-01
Pisd,PISD_MOUSE|Q8BSF4,Phosphatidylserine decarboxylase proenzyme,7.04E-03,6.03E-01
Pitpnc1,PITC1_MOUSE|Q8K4R4,Cytoplasmic phosphatidylinositol transfer protein 1,2.59E-03,8.55E-01
Pitpnm1,PITM1_MOUSE|O35954,Membrane-associated phosphatidylinositol transfer protein 1,3.07E-04,1.22E+00
Pitpnm2,PITM2_MOUSE|Q6ZPQ6,Membrane-associated phosphatidylinositol transfer protein 2,1.31E-03,5.98E-01
Pitpnm3,PITM3_MOUSE|Q3UHE1,Membrane-associated phosphatidylinositol transfer protein 3,3.73E-04,1.55E+00
Pja2,PJA2_MOUSE|Q80U04,E3 ubiquitin-protein ligase Praja-2,1.03E-03,1.50E+00
Pik3c3,PK3C3_MOUSE|Q6PF93,Phosphatidylinositol 3-kinase catalytic subunit type 3,6.36E-03,6.18E-01
Plekha1,PKHA1_MOUSE|Q8BUL6,Pleckstrin homology domain-containing family A member 1,5.83E-02,5.09E-01
Plekha2,PKHA2_MOUSE|Q9ERS5,Pleckstrin homology domain-containing family A member 2,4.97E-03,5.35E-01
Plekha6,PKHA6_MOUSE|Q7TQG1,Pleckstrin homology domain-containing family A member 6,4.75E-04,1.49E+00
Plekha7,PKHA7_MOUSE|Q3UIL6,Pleckstrin homology domain-containing family A member 7,1.38E-04,1.59E+00
Plekha7,PKHA7_MOUSE|Q3UIL6-2,Pleckstrin homology domain-containing family A member 7 (isoform 2),1.08E-04,1.57E+00
Plekhb1,PKHB1_MOUSE|Q9QYE9,Pleckstrin homology domain-containing family B member 1,6.43E-01,-1.09E-01
Plekhb1,PKHB1_MOUSE|Q9QYE9-2,Pleckstrin homology domain-containing family B member 1 (isoform 2),2.24E-01,-2.85E-01
Pkn1,PKN1_MOUSE|P70268,Serine/threonine-protein kinase N1,1.47E-02,5.00E-01
Pkn2,PKN2_MOUSE|Q8BWW9,Serine/threonine-protein kinase N2,3.30E-03,5.73E-01
Pkp4,PKP4_MOUSE|Q68FH0,Plakophilin-4,4.88E-04,1.43E+00
Jup,PLAK_MOUSE|Q02257,Junction plakoglobin,6.16E-01,-1.73E-02
Plaa,PLAP_MOUSE|P27612,Phospholipase A-2-activating protein,2.08E-03,6.52E-01
Agpat1,PLCA_MOUSE|O35083,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,2.36E-02,4.48E-01
Plcb1,PLCB1_MOUSE|Q9Z1B3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",1.17E-03,8.11E-01
Plcb3,PLCB3_MOUSE|P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",5.02E-02,4.03E-01
Agpat3,PLCC_MOUSE|Q9D517,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,3.48E-03,5.77E-01
Agpat4,PLCD_MOUSE|Q8K4X7,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,5.63E-03,5.12E-01
Plcd1,PLCD1_MOUSE|Q8R3B1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",3.34E-03,4.16E-01
Plcd4,PLCD4_MOUSE|Q8K3R3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",7.73E-02,3.01E-01
Agpat5,PLCE_MOUSE|Q9D1E8,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.59E-02,4.54E-01
Plcg1,PLCG1_MOUSE|Q62077,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",3.23E-03,5.48E-01
Plch2,PLCH2_MOUSE|A2AP18,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",3.45E-04,8.00E-01
Plch2,PLCH2_MOUSE|A2AP18-2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (isoform 2)",2.98E-03,7.58E-01
Plcl1,PLCL1_MOUSE|Q3USB7,Inactive phospholipase C-like protein 1,4.03E-04,8.71E-01
Plcl2,PLCL2_MOUSE|Q8K394,Inactive phospholipase C-like protein 2,8.82E-04,7.60E-01
Plcxd3,PLCX3_MOUSE|Q8BLJ3,PI-PLC X domain-containing protein 3,4.42E-02,7.21E-01
Pld3,PLD3_MOUSE|O35405,Phospholipase D3,2.29E-01,3.05E-01
Plec,PLEC_MOUSE|Q9QXS1,Plectin,3.32E-04,1.23E+00
Plec,PLEC_MOUSE|Q9QXS1-6,Plectin (isoform 6),2.44E-04,1.29E+00
Plin4,PLIN4_MOUSE|O88492,Perilipin-4,6.45E-01,1.39E-02
Pllp,PLLP_MOUSE|Q9DCU2,Plasmolipin,6.33E-01,3.69E-02
Fxyd1,PLM_MOUSE|Q9Z239,Phospholemman,9.29E-01,8.89E-02
Plod2,PLOD2_MOUSE|Q9R0B9,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",8.69E-01,5.35E-03
NA,PLPHP_MOUSE|Q9Z2Y8,NA,4.72E-03,6.21E-01
Pnpla6,PLPL6_MOUSE|Q3TRM4,Neuropathy target esterase,1.54E-02,4.24E-01
Pnpla8,PLPL8_MOUSE|Q8K1N1,Calcium-independent phospholipase A2-gamma,1.57E-02,6.05E-01
Pdxp,PLPP_MOUSE|P60487,Pyridoxal phosphate phosphatase,2.71E-02,4.63E-01
NA,PLPP3_MOUSE|Q99JY8,NA,4.98E-01,-2.98E-01
NA,PLPP6_MOUSE|Q9D4F2,NA,7.54E-02,5.27E-01
NA,PLPR2_MOUSE|Q8VCY8,NA,2.25E-02,5.74E-01
NA,PLPR2_MOUSE|Q8VCY8-2,NA,1.37E-02,6.19E-01
NA,PLPR3_MOUSE|Q7TPB0,NA,3.73E-04,1.35E+00
NA,PLPR4_MOUSE|Q7TME0,NA,6.43E-04,1.43E+00
Pls1,PLSI_MOUSE|Q3V0K9,Plastin-1,8.56E-03,4.65E-01
Lcp1,PLSL_MOUSE|Q61233,Plastin-2,8.16E-02,4.47E-01
Pls3,PLST_MOUSE|Q99K51,Plastin-3,1.96E-03,4.97E-01
Plxna1,PLXA1_MOUSE|P70206,Plexin-A1,7.01E-04,5.92E-01
Plxna2,PLXA2_MOUSE|P70207,Plexin-A2,4.43E-04,6.05E-01
Plxna4,PLXA4_MOUSE|Q80UG2,Plexin-A4,1.14E-04,7.61E-01
Plxnb1,PLXB1_MOUSE|Q8CJH3,Plexin-B1,5.43E-02,2.80E-01
Plxnc1,PLXC1_MOUSE|Q9QZC2,Plexin-C1,9.37E-04,5.67E-01
Plxnd1,PLXD1_MOUSE|Q3UH93,Plexin-D1,4.05E-04,6.58E-01
Bpgm,PMGE_MOUSE|P15327,Bisphosphoglycerate mutase,5.94E-02,4.33E-01
Pmm1,PMM1_MOUSE|O35621,Phosphomannomutase 1,9.10E-03,5.23E-01
Naprt,PNCB_MOUSE|Q8CC86,Nicotinate phosphoribosyltransferase,3.10E-01,1.52E-01
Pnkd,PNKD_MOUSE|Q69ZP3,Probable hydrolase PNKD,3.28E-02,4.53E-01
Pnp,PNPH_MOUSE|P23492,Purine nucleoside phosphorylase,5.92E-01,2.31E-02
Pnpt1,PNPT1_MOUSE|Q8K1R3,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",1.15E-01,3.14E-01
Pom121,PO121_MOUSE|Q8K3Z9,Nuclear envelope pore membrane protein POM 121,1.06E-03,1.45E+00
Pogz,POGZ_MOUSE|Q8BZH4,Pogo transposable element with ZNF domain,9.49E-04,8.86E-01
Pon2,PON2_MOUSE|Q62086,Serum paraoxonase/arylesterase 2,1.97E-01,4.33E-01
Postn,POSTN_MOUSE|Q62009,Periostin,8.42E-01,3.45E-02
Ppp1r12c,PP12C_MOUSE|Q3UMT1,Protein phosphatase 1 regulatory subunit 12C,4.62E-04,1.30E+00
Ppp1r16b,PP16B_MOUSE|Q8VHQ3,Protein phosphatase 1 regulatory inhibitor subunit 16B,1.26E-03,9.23E-01
Ppp1ca,PP1A_MOUSE|P62137,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,2.11E-03,6.78E-01
Ppp1cb,PP1B_MOUSE|P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,9.48E-03,3.14E-01
Ppp1r7,PP1R7_MOUSE|Q3UM45,Protein phosphatase 1 regulatory subunit 7,4.35E-03,4.35E-01
Ppp2ca,PP2AA_MOUSE|P63330,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,3.13E-01,2.06E-01
Ppp2cb,PP2AB_MOUSE|P62715,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,1.74E-01,2.27E-01
Ppp3ca,PP2BA_MOUSE|P63328,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,1.32E-03,6.83E-01
Ppp3ca,PP2BA_MOUSE|P63328-2,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (isoform 2),1.79E-03,6.51E-01
Ppp3cb,PP2BB_MOUSE|P48453,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,1.38E-03,6.42E-01
Ppp4c,PP4C_MOUSE|P97470,Serine/threonine-protein phosphatase 4 catalytic subunit,2.32E-01,1.08E-01
Ppp4r4,PP4R4_MOUSE|Q8C0Y0,Serine/threonine-protein phosphatase 4 regulatory subunit 4,1.87E-03,8.20E-01
Ppp6r1,PP6R1_MOUSE|Q7TSI3,Serine/threonine-protein phosphatase 6 regulatory subunit 1,1.46E-03,1.15E+00
Ppp6r2,PP6R2_MOUSE|Q8R3Q2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,7.12E-04,1.40E+00
Ppp6r3,PP6R3_MOUSE|Q922D4,Serine/threonine-protein phosphatase 6 regulatory subunit 3,1.01E-03,1.01E+00
Acp6,PPA6_MOUSE|Q8BP40,Lysophosphatidic acid phosphatase type 6,8.06E-02,4.40E-01
Acp1,PPAC_MOUSE|Q9D358,Low molecular weight phosphotyrosine protein phosphatase,1.44E-03,4.46E-01
Prep,PPCE_MOUSE|Q9QUR6,Prolyl endopeptidase,1.12E-02,5.50E-01
Prepl,PPCEL_MOUSE|Q8C167,Prolyl endopeptidase-like,5.07E-03,5.52E-01
Ppia,PPIA_MOUSE|P17742,Peptidyl-prolyl cis-trans isomerase A,7.48E-02,2.42E-01
Ppib,PPIB_MOUSE|P24369,Peptidyl-prolyl cis-trans isomerase B,5.88E-01,1.26E-01
Ppid,PPID_MOUSE|Q9CR16,Peptidyl-prolyl cis-trans isomerase D,1.42E-03,8.01E-01
Ppif,PPIF_MOUSE|Q99KR7,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",6.05E-04,2.60E-01
Ppig,PPIG_MOUSE|A2AR02,Peptidyl-prolyl cis-trans isomerase G,2.17E-02,4.73E-01
Ppih,PPIH_MOUSE|Q9D868,Peptidyl-prolyl cis-trans isomerase H,2.64E-01,1.53E-01
Ppil1,PPIL1_MOUSE|Q9D0W5,Peptidyl-prolyl cis-trans isomerase-like 1,1.37E-01,3.48E-01
Ppm1a,PPM1A_MOUSE|P49443,Protein phosphatase 1A,3.55E-04,1.51E+00
Ppm1b,PPM1B_MOUSE|P36993,Protein phosphatase 1B,2.67E-03,8.18E-01
Ppm1e,PPM1E_MOUSE|Q80TL0,Protein phosphatase 1E,3.78E-03,6.02E-01
Ppm1f,PPM1F_MOUSE|Q8CGA0,Protein phosphatase 1F,9.09E-02,4.01E-01
Ppm1g,PPM1G_MOUSE|Q61074,Protein phosphatase 1G,4.00E-04,1.34E+00
Ppm1h,PPM1H_MOUSE|Q3UYC0,Protein phosphatase 1H,3.91E-03,6.21E-01
Ppme1,PPME1_MOUSE|Q8BVQ5,Protein phosphatase methylesterase 1,7.87E-03,5.34E-01
Papln,PPN_MOUSE|Q9EPX2,Papilin,9.34E-01,-3.58E-02
Ppox,PPOX_MOUSE|P51175,Protoporphyrinogen oxidase,4.76E-02,6.57E-01
Ppp5c,PPP5_MOUSE|Q60676,Serine/threonine-protein phosphatase 5,2.23E-02,4.12E-01
Ppp6c,PPP6_MOUSE|Q9CQR6,Serine/threonine-protein phosphatase 6 catalytic subunit,7.98E-03,3.50E-01
Ppp1r1a,PPR1A_MOUSE|Q9ERT9,Protein phosphatase 1 regulatory subunit 1A,1.02E-02,1.04E+00
Ppp1r1b,PPR1B_MOUSE|Q60829,Protein phosphatase 1 regulatory subunit 1B,6.03E-03,1.15E+00
Ppp1r21,PPR21_MOUSE|Q3TDD9,Protein phosphatase 1 regulatory subunit 21,1.20E-03,6.91E-01
Elfn2,PPR29_MOUSE|Q68FM6,Protein phosphatase 1 regulatory subunit 29,3.09E-04,1.63E+00
Ppp1r37,PPR37_MOUSE|Q8BKR5,Protein phosphatase 1 regulatory subunit 37,1.41E-03,7.85E-01
Ppp1r3f,PPR3F_MOUSE|Q9JIG4,Protein phosphatase 1 regulatory subunit 3F,4.33E-04,1.55E+00
Ppt1,PPT1_MOUSE|O88531,Palmitoyl-protein thioesterase 1,1.95E-01,2.56E-01
Pptc7,PPTC7_MOUSE|Q6NVE9,Protein phosphatase PTC7 homolog,5.24E-03,3.30E-01
Pqbp1,PQBP1_MOUSE|Q91VJ5,Polyglutamine-binding protein 1,4.38E-03,1.03E+00
Prpf40a,PR40A_MOUSE|Q9R1C7,Pre-mRNA-processing factor 40 homolog A,3.50E-04,6.59E-01
Praf2,PRAF2_MOUSE|Q9JIG8,PRA1 family protein 2,9.46E-02,2.92E-01
Arl6ip5,PRAF3_MOUSE|Q8R5J9,PRA1 family protein 3,2.57E-02,4.54E-01
NA,PRAG1_MOUSE|Q571I4,NA,1.64E-03,1.21E+00
Prrc2a,PRC2A_MOUSE|Q7TSC1,Protein PRRC2A,8.31E-04,1.43E+00
Prrc2b,PRC2B_MOUSE|Q7TPM1,Protein PRRC2B,7.41E-03,1.42E+00
Prrc2c,PRC2C_MOUSE|Q3TLH4,Protein PRRC2C,1.64E-03,1.40E+00
Prdx1,PRDX1_MOUSE|P35700,Peroxiredoxin-1,3.32E-01,1.42E-01
Prdx2,PRDX2_MOUSE|Q61171,Peroxiredoxin-2,2.63E-01,2.54E-01
Prdx3,PRDX3_MOUSE|P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial",3.52E-01,-2.12E-01
Prdx5,PRDX5_MOUSE|P99029,"Peroxiredoxin-5, mitochondrial",3.21E-02,4.12E-01
Prdx6,PRDX6_MOUSE|O08709,Peroxiredoxin-6,2.69E-01,2.04E-01
Preb,PREB_MOUSE|Q9WUQ2,Prolactin regulatory element-binding protein,3.18E-02,5.57E-01
Pitrm1,PREP_MOUSE|Q8K411,"Presequence protease, mitochondrial",1.09E-02,4.10E-01
Prex1,PREX1_MOUSE|Q69ZK0,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",3.83E-03,4.70E-01
Prickle1,PRIC1_MOUSE|Q3U5C7,Prickle-like protein 1,3.25E-03,9.59E-01
Prickle2,PRIC2_MOUSE|Q80Y24,Prickle-like protein 2,1.77E-03,1.26E+00
Prnp,PRIO_MOUSE|P04925,Major prion protein,8.56E-01,2.59E-02
Prkdc,PRKDC_MOUSE|P97313,DNA-dependent protein kinase catalytic subunit,4.27E-01,5.58E-02
Prkra,PRKRA_MOUSE|Q9WTX2,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,1.93E-04,1.70E+00
Prodh,PROD_MOUSE|Q9WU79,"Proline dehydrogenase 1, mitochondrial",7.41E-02,5.30E-01
